tradingdate,closeprice,volume,open,high,low,symbol
2022-03-18,113.46,105834800,111.28,114.93,110.55,amd
2022-03-17,111.69,103201700,112.14,114.27,109.71,amd
2022-03-16,115.37,113689800,111.6,115.42,109.89,amd
2022-03-15,109.33,112425500,102.66,109.69,101.79,amd
2022-03-14,102.25,89731680,102.99,105.24,101.04,amd
2022-03-11,104.29,87584430,108.13,108.19,104.08,amd
2022-03-10,106.46,102557400,108.89,109.07,103.07,amd
2022-03-09,111.05,102310300,108.41,111.71,106.85,amd
2022-03-08,105.53,135348300,102.81,109.9,100.08,amd
2022-03-07,102.95,92599970,108.53,109.53,102.82,amd
2022-03-04,108.41,100671300,112,113,106.81,amd
2022-03-03,111.98,123916700,118.13,118.26,111.05,amd
2022-03-02,118.28,118354500,115.47,119.48,113.31,amd
2022-03-01,113.83,126552200,122.33,122.43,112.8,amd
2022-02-28,123.34,124666100,120.31,124.61,119.2,amd
2022-02-25,121.06,127821000,117.16,121.23,116.04,amd
2022-02-24,116.61,142956600,104.56,116.96,104.26,amd
2022-02-23,109.76,120299400,117.4,118.65,109.04,amd
2022-02-22,115.65,141648500,115.27,119.2,113.61,amd
2022-02-18,113.83,114321200,113.9,115.64,109.89,amd
2022-02-17,112.37,98179640,116.26,116.98,112.26,amd
2022-02-16,117.69,119109600,119.05,119.54,114.22,amd
2022-02-15,121.47,144139700,117.19,121.88,114.36,amd
2022-02-14,114.27,135146400,115.51,118.37,113.46,amd
2022-02-11,113.18,164723200,126.14,127.17,111.81,amd
2022-02-10,125.77,108939900,128.84,131.76,124.61,amd
2022-02-09,132.85,92948860,129.6,132.96,127.65,amd
2022-02-08,128.23,84902750,122.38,128.71,122.05,amd
2022-02-07,123.67,81672500,123.56,127.63,122.79,amd
2022-02-04,123.6,86212010,120.34,124.96,118.58,amd
2022-02-03,120.08,103599500,120.32,125.37,118.82,amd
2022-02-02,122.76,180065000,129.89,130.06,120.64,amd
2022-02-01,116.78,122467900,116.75,117.26,112.73,amd
2022-01-31,114.25,97205990,107.93,114.31,106.9,amd
2022-01-28,105.24,98749520,101.55,105.4,99.35,amd
2022-01-27,102.6,125954100,111.96,112.75,101.94,amd
2022-01-26,110.71,94752610,114.55,117.16,108.63,amd
2022-01-25,111.13,85102910,114.1,114.82,109.86,amd
2022-01-24,116.53,116301800,115.4,116.77,107.5,amd
2022-01-21,118.81,95685270,120.14,125.02,118.39,amd
2022-01-20,121.89,91157290,126.04,128.51,121.41,amd
2022-01-19,128.27,69831850,133.55,134.57,128.02,amd
2022-01-18,131.93,56589460,134.5,136.39,131.59,amd
2022-01-14,136.88,71078440,131.68,137,131.43,amd
2022-01-13,132.74,76618060,139.44,141.25,131.81,amd
2022-01-12,137.47,69669600,138.59,140.57,135.77,amd
2022-01-11,137.31,77153910,133.45,138.99,131.59,amd
2022-01-10,132,84671340,129.08,132.42,125.03,amd
2022-01-07,132,58441100,136.28,137.44,131.13,amd
2022-01-06,136.23,64802940,136.19,138,131.77,amd
2022-01-05,136.15,65403170,142.82,143.76,135.29,amd
2022-01-04,144.42,80200460,151.01,152.42,140.7,amd
2022-01-03,150.24,59477670,145.14,151.65,145.02,amd
2022-09-09,31.46,34081210,31.19,31.5,31.075,intc
2022-09-08,30.75,37359470,30.37,30.8469,29.91,intc
2022-09-07,30.65,37329540,30.42,30.785,30.05,intc
2022-09-06,30.36,46989600,31.39,31.39,30.33,intc
2022-09-02,31.22,34893280,32.21,32.375,31.06,intc
2022-09-01,31.76,36440680,31.572,31.825,31.13,intc
2022-08-31,31.92,44074490,32.385,32.385,31.77,intc
2022-08-30,32.26,40182450,33.04,33.07,32.15,intc
2022-08-29,32.94,32976760,33.225,33.41,32.81,intc
2022-08-26,33.36,44851480,34.95,35.025,33.35,intc
2022-08-25,34.89,29799150,33.87,34.93,33.82,intc
2022-08-24,33.86,25105650,33.97,33.99,33.6,intc
2022-08-23,33.95,30687100,33.98,34.39,33.91,intc
